var	UA.0	UA.1	MI.0	MI.1	PCI.0	PCI.1	TX.0	CA.0	CA.1
BULGARIA	-0.0861120884975779	-0.111862739492935	0.214079180748873	0.016570992251395	0	0	0	-0.0646213964846739	-1.26212226682045e-11
CROATIA	-0.0582606442014417	-0.0597448581867183	-0.310857072192439	-0.00949781008476188	0	0	NA	-0.0437069119006489	2.63221286296488e-12
CZECH REPUBLIC	-0.0837311051632341	-0.0492786876720222	0.186635410668052	0.028566916955934	0	0	0	0.294927555399262	5.08379752312075e-11
DENMARK	-0.0534809367958813	-0.0606117513517056	0.0550513237297067	0.0171113285930588	0	0	0	0.112822871345106	3.21543000148793e-11
ESTONIA	NA	NA	-0.0262196996295634	-0.00102910294243702	0	0	NA	-0.0642362259989532	-7.50854527573041e-12
FINLAND	-0.0598823197916478	-0.067631208802999	-0.15522764506816	-0.0140366528094823	0	0	0	-0.251209556821414	-7.66521990118831e-11
FRANCE	0.124881609746523	-0.0206067742231689	0.0273307194132705	0.00623686247189483	0	0	0	-0.0586958290527229	6.01908973122261e-12
GEORGIA	-0.119897041969324	-0.193478002352894	0.203232077991646	0.0223898237303894	0	0	0	0.0353197150567793	1.56975796498296e-11
GERMANY	0.0288732468985995	0.11400992836294	0.150317514837708	0.0215295866878625	0	0	0	-0.0235974008782813	-9.59022193618845e-12
GREECE	0.746952623151035	0.907823389688688	0.171269101848713	0.0145864711455316	0	0	0	0.0257901244139545	-2.32256466098068e-12
HUNGARY	0.317680484569345	0.403898816506587	0.216492216002181	0.0116185734377856	0	0	0	-0.0990639375360028	-3.00683911662275e-11
IRELAND	-0.095188443119256	-0.10586943958033	0.145505044158718	0.00295289100838204	0	0	0	-0.00651733623153874	-1.58607580155224e-12
ISRAEL	-0.616701703630871	-0.720949434457365	-0.388309034061505	-0.125044056947904	0	0	0	-0.119985402019337	-7.37154789012455e-11
ITALY	0.0296742824678594	-0.123968297476428	-0.323733157767177	-0.0189890299674623	0	0	0	0.01828854559625	1.74256479393325e-12
LITHUANIA	-0.308694078670004	-0.397262128582127	-0.0286080835820725	-0.0143223953289662	0	0	NA	-0.099399679341514	-2.53373918702557e-11
NETHERLANDS	0.488256799837344	0.437096302293206	0.391691164379683	0.0301279662589941	0	0	0	0.391888967339772	8.78509220377575e-11
NORWAY	NA	NA	NA	NA	NA	NA	NA	NA	NA
POLAND	-0.122497446800064	-0.123117401905874	0.352482595144691	0.0670364052457313	0	0	0	0.168084984674817	6.18419010479177e-11
PORTUGAL	0.227004558428123	0.281437178062449	0.197592717372059	0.0558262013074668	0	0	NA	0.121477077812535	7.22489097199642e-11
ROMANIA	-0.0267251336248229	-0.036415404699707	-0.156336607266975	-0.00336847928761359	0	0	NA	-0.138578989093298	-2.18094237867446e-11
RUSSIA	0.0346796165780212	0.0476848977207013	-0.494220465529687	-0.0825499641816692	0	0	0	0.0931855290779194	1.00048902108092e-11
SERBIA&MONTENEGRO	0.77234553674018	1.00333962527496	0.370743414668293	0.0265986402307279	0	0	0	0.346499712168789	5.85526336400233e-11
SLOVENIA	0.53795746326865	0.666429646059784	0.30612346461271	0.0600954886878479	0	0	NA	0.346705784603613	7.24543378825599e-11
SPAIN	0.300860795203405	0.320982157831919	-0.215452664348421	-0.0102092297459258	0	0	0	0.145567456644028	2.18669632194074e-10
